,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable
1698,Manfred,2015-04-18,"London, United Kingdom",within a day,100%,92%,t,Urbanización Cortijo de Nagüeles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$101.00,t,f
1699,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$183.00,t,t
1700,Maribel,2019-01-12,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$129.00,t,t
1701,Anita,2021-12-16,"Málaga, Spain",within an hour,100%,97%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in rental unit,Private room,$59.00,t,f
1702,Ali,2014-10-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$82.00,t,t
1703,Carolina,2014-12-05,"Málaga, Spain",within a few hours,99%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$32.00,t,f
1704,Laurent,2020-08-28,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,f,"Málaga, Andalucía, Spain",Este,Entire serviced apartment,Entire home/apt,$263.00,t,t
1705,Rocío,2016-07-17,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$98.00,t,f
1706,Silvia,2019-02-26,"Andalusia, Spain",within an hour,100%,99%,t,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$127.00,t,f
1707,Francisco,2019-02-09,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$67.00,t,t
1708,Newma,2015-05-20,"Málaga, Spain",within a few hours,80%,52%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$67.00,t,f
1709,Homingbook,2017-10-06,"Málaga, Spain",within a few hours,88%,99%,f,Marbella Hill Club,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$150.00,t,f
1710,Monica,2015-10-04,"Mijas, Spain",within a few hours,88%,0%,f,Marbella Hill Club,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Campanillas,Entire cottage,Entire home/apt,$150.00,t,f
1711,Mariola,2017-06-04,"Málaga, Spain",within an hour,95%,100%,f,Marbella Hill Club,"['email', 'phone', 'work_email']",t,t,"Málaga, Spain",Centro,Entire serviced apartment,Entire home/apt,$93.00,t,t
1712,Mariano,2016-11-07,"Ramos Mejía, Argentina",within an hour,94%,97%,f,Marbella Hill Club,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$83.00,t,t
1713,Marta,2019-11-29,"Ramos Mejía, Argentina",within an hour,100%,100%,t,Marbella Hill Club,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$154.00,t,t
1714,Andrea,2016-05-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$117.00,t,t
1715,Mayka,2018-04-09,"Benalmádena, Spain",within a few hours,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Entire loft,Entire home/apt,$99.00,t,f
1716,Javier,2021-05-18,"Benalmádena, Spain",within a day,90%,87%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$76.00,t,f
1717,Harley Flower,2023-03-11,"Benalmádena, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire condo,Entire home/apt,$102.00,t,t
1718,Inmaculada,2015-04-13,"Benalmádena, Spain",within an hour,100%,78%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Churriana,Entire villa,Entire home/apt,$780.00,t,f
1719,Javier,2016-09-15,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire home,Entire home/apt,$124.00,t,f
1720,Maria Concepcion,2017-02-19,"Málaga, Spain",within an hour,100%,86%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$168.00,t,t
1721,Antonio,2015-08-30,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$88.00,t,t
1722,Rocio,2015-07-03,"Málaga, Spain",within an hour,100%,80%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$88.00,t,f
1723,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$89.00,t,t
1724,Marilo,2021-04-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$150.00,t,t
1725,Joel,2017-10-12,"Málaga, Spain",within an hour,100%,0%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$20.00,t,f
1726,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$133.00,t,t
1727,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,97%,99%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$112.00,t,t
1728,Borja,2023-09-21,"Málaga, Spain",within an hour,97%,99%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Ciudad Jardin,Entire cottage,Entire home/apt,$486.00,t,f
1729,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$94.00,t,t
1730,Joaquin,2011-09-23,"Andalusia, Spain",within a day,50%,33%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Este,Entire home,Entire home/apt,$300.00,t,f
1731,Miriam,2018-12-05,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire townhouse,Entire home/apt,$90.00,t,f
1732,David,2012-04-09,"Malaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$94.00,t,t
1733,Ali,2014-10-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$70.00,t,t
1734,Andrea,2016-05-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$101.00,t,t
1735,Renthas Hospitality,2019-12-12,"Málaga, Spain",within an hour,93%,100%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$351.00,t,t
1736,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$189.00,t,t
1737,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire serviced apartment,Entire home/apt,$135.00,t,t
1738,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,Urbanización Cortijo de Nagüeles,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$138.00,t,t
1739,Andrea,2016-05-10,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$248.00,t,t
1740,Gloria,2018-02-21,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$221.00,t,t
1741,Ivan,2021-08-05,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,['phone'],t,f,"Málaga, Andalucía, Spain",Este,Entire home,Entire home/apt,$103.00,t,f
1742,Maria Jose,2017-06-05,"Málaga, Spain",within an hour,100%,96%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$80.00,t,f
1743,Ali,2014-10-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$75.00,t,t
1744,Anabel,2021-09-26,"Andalusia, Spain",within a day,75%,30%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Entire rental unit,Entire home/apt,$115.00,t,f
1745,Maria,2016-05-13,"Andalusia, Spain",within a few hours,100%,82%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$75.00,t,f
1746,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$117.00,t,t
1747,"Del Parque Flats, S.L.",2014-09-10,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$88.00,t,t
1748,Maria,2016-05-13,"Andalusia, Spain",within a few hours,100%,82%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$85.00,t,f
1749,María Luisa,2016-10-10,"Jaén, Spain",within a few hours,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$85.00,t,f
1750,Elizabeth,2018-08-14,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$75.00,t,t
1751,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$192.00,t,t
1752,Petra,2022-06-07,"Málaga, Spain",a few days or more,0%,0%,f,La Victoria,['phone'],f,t,"Málaga, Andalucía, Spain",Ciudad Jardin,Private room in townhouse,Private room,$42.00,t,f
1753,Villa Alicia,2015-08-05,"Málaga, Spain",within a day,100%,0%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in bed and breakfast,Private room,"$2,600.00",t,t
1754,Cristina,2024-05-04,"Málaga, Spain",within an hour,100%,0%,f,La Victoria,['phone'],f,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$140.00,t,f
1755,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$213.00,t,t
1756,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$133.00,t,t
1757,Gae,2016-06-29,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire condo,Entire home/apt,$104.00,t,f
1758,Javier,2017-02-08,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Room in aparthotel,Private room,$94.00,t,t
1759,Jorgelina,2016-12-04,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$163.00,t,t
1760,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$113.00,t,t
1761,Javier,2015-04-30,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$100.00,t,t
1762,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$171.00,t,t
1763,Carlos,2020-05-28,"Andalusia, Spain",within an hour,89%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$88.00,t,t
1764,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$141.00,t,t
1765,Mayte,2013-10-28,"Andalusia, Spain",within an hour,100%,96%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$113.00,t,f
1766,Del Parque Flats,2017-09-25,"Málaga, Spain",within an hour,100%,98%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$142.00,t,t
1767,Silvia,2020-09-07,"Málaga, Spain",within an hour,100%,92%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire home,Entire home/apt,$79.00,t,f
1768,German,2014-09-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga Capital , Málaga, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$96.00,t,t
1769,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire condo,Entire home/apt,$139.00,t,t
1770,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$297.00,t,t
1771,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire loft,Entire home/apt,$123.00,t,t
1772,Alberto Jesús,2023-06-01,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$100.00,t,t
1773,Alba,2022-06-30,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$164.00,t,t
1774,Pablo,2016-05-22,"Málaga, Spain",within a few hours,100%,96%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Ciudad Jardin,Entire rental unit,Entire home/apt,$60.00,t,f
1775,Blanca,2017-12-05,"Andalusia, Spain",within an hour,100%,99%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in rental unit,Private room,$46.00,t,t
1776,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,t,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire serviced apartment,Entire home/apt,$164.00,t,t
1777,Lodgingmalaga,2017-09-27,"Málaga, Spain",within an hour,97%,100%,f,La Victoria,"['email', 'phone']",t,f,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$164.00,t,f
1778,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$247.00,t,t
1779,Belén,2016-09-09,"Málaga, Spain",within a day,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in home,Private room,$300.00,t,t
1780,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$161.00,t,t
1781,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$202.00,t,f
1782,Javier,2021-05-18,"Málaga, Spain",within a day,90%,87%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$205.00,t,f
1783,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$452.00,t,t
1784,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$126.00,t,t
1785,Ester,2018-02-03,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire condo,Entire home/apt,$113.00,t,t
1786,María Ángeles,2020-05-25,"Andalusia, Spain",within a few hours,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire condo,Entire home/apt,$103.00,t,f
1787,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$140.00,t,t
1788,Carolina,2014-12-05,"Málaga, Spain",within a few hours,99%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$30.00,t,f
1789,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire condo,Entire home/apt,$159.00,t,t
1790,Ekaterina,2018-09-22,"Málaga, Spain",within an hour,90%,97%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire serviced apartment,Entire home/apt,$140.00,t,t
1791,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$135.00,t,t
1792,Ali,2014-10-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$56.00,t,t
1793,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$208.00,t,t
1794,Marco,2013-05-26,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$72.00,t,f
1795,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$126.00,t,t
1796,Sofía Y Julio,2021-07-15,"Málaga, Spain",within an hour,100%,99%,t,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$115.00,t,f
1797,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,t,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$125.00,t,t
1798,Gaba & Sons S.L.,2019-04-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalusia, Spain",Centro,Entire rental unit,Entire home/apt,$124.00,t,t
1799,Ali,2014-10-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalusia, Spain",Centro,Entire rental unit,Entire home/apt,$91.00,t,t
1800,Olga,2015-01-15,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$291.00,t,f
1801,David,2012-04-09,"Malaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$82.00,t,t
1802,Olga,2015-01-15,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$222.00,t,t
1803,Natalia,2017-06-13,"Málaga, Spain",within an hour,100%,99%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$168.00,t,t
1804,Maria,2024-05-10,"Málaga, Spain",within an hour,100%,75%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$88.00,t,f
1805,Francisco José,2022-07-08,"Málaga, Spain",within a few hours,100%,100%,f,La Victoria,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$50.00,t,f
1806,Soho Museo,2018-01-23,"Málaga, Spain",within an hour,100%,100%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$613.00,t,t
1807,HomeAbroad Apartments,2019-03-20,"Andalusia, Spain",within an hour,90%,96%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Palma-Palmilla,Entire rental unit,Entire home/apt,$227.00,t,t
1808,Philip Michael,2024-02-02,"Andalusia, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$100.00,t,t
1809,Arantxa,2014-01-30,"Málaga, Spain",within an hour,100%,91%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire loft,Entire home/apt,$69.00,t,f
1810,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,t,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$96.00,t,t
1811,Mircea,2024-02-20,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,['phone'],f,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$72.00,t,t
1812,Freshlanding,2012-08-26,"Málaga, Spain",within an hour,97%,100%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$108.00,t,t
1813,Antonio,2016-02-08,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$108.00,t,t
1814,Mariano,2016-11-07,"Ramos Mejía, Argentina",within an hour,94%,97%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$194.00,t,t
1815,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire loft,Entire home/apt,$100.00,t,t
1816,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$117.00,t,t
1817,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$250.00,t,t
1818,Pedro,2021-11-20,"Andalucía, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire condo,Entire home/apt,$117.00,t,t
1819,Augusto,2015-11-07,"Andalusia, Spain",within an hour,100%,99%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$135.00,t,t
1820,Apartamentos San Pablo,2012-11-14,"Málaga, Spain",within a few hours,100%,50%,f,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalusia, Spain",Centro,Entire serviced apartment,Entire home/apt,$84.00,t,f
1821,Javi,2016-06-17,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$151.00,t,f
1822,Victoria,2019-04-16,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$94.00,t,f
1823,Ele,2016-08-14,"Andalusia, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$179.00,t,t
1824,Andrea,2016-05-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$100.00,t,t
1825,Andrea,2016-05-10,"Málaga, Spain",within an hour,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$114.00,t,t
1826,Simon,2019-05-10,"Málaga, Spain",within a few hours,100%,95%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalusia, Spain",Este,Entire home,Entire home/apt,$114.00,t,f
1827,Lucía,2018-07-01,"Andalusia, Spain",within a day,100%,100%,t,La Victoria,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Campanillas,Entire cottage,Entire home/apt,$114.00,t,f
